id,host_response_rate,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating
24398114,0.86,University Heights,92116,Bungalow,Entire home/apt,6,1,3,3,150,121,98
12026492,1,Ocean Beach,92107,House,Entire home/apt,6,2,3,3,345,15,96
25301679,1,Logan Heights,92113,Apartment,Entire home/apt,6,1,2,2,55,98,89
821576,1,Pacific Beach,92109,Bungalow,Entire home/apt,6,1,2,2,195,27,94
25050229,1,Hillcrest,92103,Apartment,Entire home/apt,6,2,2,2,350,8,91
20120289,1,La Jolla,92037,House,Private room,1,1,1,1,150,9,100
14472288,1,North Park,92104,Apartment,Entire home/apt,2,1,1,2,100,42,99
40153243,1,Lake Murray,92119,House,Private room,2,1,0,1,35,7,100
39728974,1,Grant Hill,92102,House,Entire home/apt,18,4,7,7,349,1,80
21503147,1,Mira Mesa,92126,Other,Private room,1,1,1,1,70,37,99
38825054,0.98,Clairemont Mesa East,92111,House,Entire home/apt,10,2,3,4,250,7,94
16619357,1,East Village,92101,Condominium,Entire home/apt,3,1,0,2,99,6,93
32592520,1,Core-Columbia,92101,Apartment,Entire home/apt,6,1,1,2,110,61,96
10212881,1,Midway District,92101,Boat,Entire home/apt,4,1,1,4,200,25,91
29211690,1,Mission Beach,92109,Condominium,Entire home/apt,6,2,2,3,378,5,84
23584062,1,Ocean Beach,92107,House,Entire home/apt,10,5.5,4,5,600,29,97
6988621,1,Mission Beach,92109,Cottage,Entire home/apt,3,1,1,1,125,122,95
31808594,0.99,East Village,92101,Apartment,Entire home/apt,6,2,2,2,499,11,80
31213706,1,Park West,92101,Apartment,Entire home/apt,3,1,1,1,95,76,97
40559593,0.98,Grant Hill,92102,House,Entire home/apt,10,1,2,2,130,3,73
39563222,1,Park West,92101,House,Private room,2,1,1,1,65,4,100
20311199,1,La Jolla,92037,Condominium,Entire home/apt,4,1,2,3,125,1,100
40878632,1,Petco Park,92101,Apartment,Entire home/apt,2,1,0,1,999,10,98
17975384,1,La Jolla,92037,House,Entire home/apt,10,3,4,5,629,4,95
34568777,0.98,University City,92122,Apartment,Entire home/apt,8,2,3,4,300,12,92
