id,name,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month
5570,Ocean front condo on the sand,100%,f,t,Mission Beach,92109,t,Condominium,Entire home/apt,6,1,2,4,850,"$2,050.00 ",0,0,,
8488,Juniper Zen Palace- SD's Best Hood!,100%,f,t,South Park,92104,t,House,Entire home/apt,5,2,3,3,,$225.00 ,42,2,96,0.37
29967,"Great home, 10 min walk to Beach",100%,f,t,Pacific Beach,92109,t,Bungalow,Entire home/apt,8,2,2,3,,$225.00 ,60,0,98,0.52
38245,Point Loma/Liberty Station-NTC,100%,f,t,Loma Portal,92106,t,House,Private room,1,1,1,1,,$75.00 ,143,5,86,1.26
39516,Art Studio Retreat/Rustic Cabin,100%,t,t,North Park,92104,t,Tiny house,Entire home/apt,2,1,1,1,250,$74.00 ,389,43,98,3.37
54001,La Jolla  Grdn View + Sttng Rm; Lng Trm Only.,95%,t,t,La Jolla,92037,t,House,Private room,1,1,1,1,,$73.00 ,214,37,99,1.95
62274,"charming, colorful, close to beach",100%,t,t,Pacific Beach,92109,t,Guesthouse,Entire home/apt,2,1,1,1,,$68.00 ,544,68,96,4.9
62949,Pacific Beach Cozy Private Unit Bikes Included,100%,t,t,Pacific Beach,92109,t,Guest suite,Entire home/apt,2,1,1,1,200,$75.00 ,627,109,97,6.96
67441,Canyon apartment hideaway,100%,t,f,College West,92115,t,Apartment,Entire home/apt,2,1,1,1,,$90.00 ,3,0,100,0.05
69385,$229/Night thru April! 30-Seconds to the Beach!,100%,t,t,Mission Beach,92109,f,House,Entire home/apt,6,2.5,3,4,,$249.00 ,192,25,97,1.77
75668,San Diego Living by JA 2,73%,t,t,North Park,92104,t,Condominium,Private room,2,1,1,1,900,$45.00 ,191,18,97,1.85
79300,San Diego living by JA 1,73%,t,t,North Park,92104,t,Condominium,Private room,2,1,1,0,900,$50.00 ,153,5,96,1.42
103416,"La Jolla Charm: Breakfast, Blks to Ocean",95%,t,t,La Jolla,92037,t,House,Private room,1,1,1,1,,$65.00 ,123,1,98,1.17
103417,La Jolla Retreat-Garden View-Breakfast,95%,t,t,La Jolla,92037,t,House,Private room,2,1,1,1,,$87.00 ,196,50,98,1.91
103420,"La Jolla Serene: Private Patio, Breakfast",95%,t,t,La Jolla,92037,t,House,Private room,2,1,1,2,,$115.00 ,146,31,98,1.47
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,100%,t,f,Hillcrest,92103,t,Bed and breakfast,Private room,2,1,1,1,,$99.00 ,51,7,99,0.49
103841,"Tranquil, Private Bedroom/Bath in Carmel Valley",100%,t,t,Carmel Valley,92130,t,Townhouse,Private room,3,1.5,1,1,,$59.00 ,112,22,99,1.07
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,100%,t,t,Pacific Beach,92109,t,Townhouse,Entire home/apt,7,2.5,3,5,,$209.00 ,144,27,95,1.41
117896,"La Jolla  Beach Paradise, San Diego",90%,t,t,La Jolla,92037,t,House,Private room,2,1,1,1,,$89.00 ,170,3,94,1.83
119063,Cheery Yellow Beach House,100%,f,f,Pacific Beach,92109,t,House,Entire home/apt,2,1,1,1,,$178.00 ,19,3,89,0.18
123990,Laid-Back Luxe San Diego,100%,f,t,Black Mountain Ranch,92127,t,House,Entire home/apt,6,2.5,3,5,3800,$525.00 ,9,1,100,0.09
126344,"Tourmaline House - Steps to Beach, Pet-Friendly",100%,t,t,Pacific Beach,92109,t,House,Entire home/apt,8,2,3,6,,$221.00 ,144,16,94,1.44
132966,Water View Studio in Pacific Beach!,100%,t,t,Pacific Beach,92109,t,Apartment,Entire home/apt,2,1,0,1,450,$75.00 ,22,4,96,0.25
134731,"Studio Ocean View( available Jan 10-16, 2020)",100%,t,f,Del Mar Heights,92014,t,House,Private room,2,1,1,0,,$109.00 ,40,10,96,0.44
146886,"Downtown, Spacious and Bright with Balcony!",100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,1,1,,$79.00 ,19,4,100,0.2
